Champion,Ability,Spell Name,Has CC?,CC Type,Ability Description,Cooldown (Seconds)
Fizz,Q,Urchin Strike,❌,None,"Fizz dashes through his target, dealing magic damage and applying on hit effects.",8/7.5/7/6.5/6
Fizz,W,Seastone Trident,❌,None,"Fizz's attacks bleed his enemies, dealing magic damage over several seconds. Fizz can empower his next attack to deal bonus damage and empower his further attacks for a short time.",7/6.5/6/5.5/5
Fizz,E,Playful / Trickster,❌,None,"Fizz hops into the air, landing gracefully upon his spear and becoming untargetable. From this position, Fizz can either slam the ground or choose to jump again before smashing back down.",16/14/12/10/8
Fizz,R,Chum the Waters,✅,slow,"Fizz tosses a fish in a direction that attaches to any champion that touches it, slowing the target. After a short delay, a shark erupts from the ground, knocking up the target and knocking any nearby enemies aside. All enemies hit are dealt magic damage and slowed.",100/85/70
Galio,,,,,,
Galio,Q,Winds of War,❌,None,Galio fires two windblasts that converge into a large tornado that deals damage over time.,11/10/9/8/7
Galio,W,Shield of Durand,✅,"slow, taunt","Galio charges a defensive stance, moving slowly. Upon releasing the charge, Galio will taunt and damage nearby enemies.",18/17/16/15/14
Galio,E,Justice Punch,❌,None,"Galio will briefly step back and charge, knocking up the first enemy champion he encounters.",11/10/9/8/7
Galio,R,Hero's Entrance,❌,None,"Galio designates an ally's position as his landing spot, granting all allies in the area a magic shield. After a delay Galio smashes down location, knocking up nearby enemies.",180/160/140
Gangplank,,,,,,
Gangplank,Q,Parrrley,❌,None,"Shoots target, plundering Gold for each enemy unit killed.",4.5/4.5/4.5/4.5/4.5
Gangplank,W,Remove Scurvy,❌,None,Eats citrus to cure crowd control effects and restore Health.,22/20/18/16/14
Gangplank,E,Powder Keg,✅,slow,"Gangplank uncovers a powder keg at target location. If he attacks it, it explodes, spreading the attack's damage to enemies in the area, slowing them.",0/0/0/0/0
Gangplank,R,Cannon Barrage,✅,slow,"Gangplank signals his ship to bombard an area, slowing and damaging enemies.",170/150/130
Garen,,,,,,
Garen,Q,Decisive Strike,✅,slow,"Garen gains a burst of Move Speed, breaking free of all slows affecting him. His next attack strikes a vital area of his foe, dealing bonus damage and silencing them.",8/8/8/8/8
Garen,W,Courage,❌,None,Garen passively increases his armor and magic resist by killing enemies. He may also activate this ability to give him a shield and tenacity for a brief moment followed by a lesser amount of damage reduction for a longer duration.,23/21/19/17/15
Garen,E,Judgment,❌,None,"Garen rapidly spins his sword around his body, dealing physical damage to nearby enemies.",9/9/9/9/9
Garen,R,Demacian Justice,❌,None,Garen calls upon the might of Demacia to attempt to execute an enemy champion.,120/100/80
Gnar,,,,,,
Gnar,Q,Boomerang Throw / Boulder Toss,✅,slow,"Gnar throws a boomerang that damages and slows enemies it hits before returning to him. If he catches the boomerang its cooldown is reduced.<br><br>Mega Gnar instead throws a boulder that stops on the first unit hit, damaging and slowing everything nearby. It can then be picked up to reduce the cooldown.",20/17.5/15/12.5/10
Gnar,W,Hyper / Wallop,✅,stun,"Gnar's attacks and spells hype him up, dealing bonus damage and granting him Move Speed.<br><br>Mega Gnar is too enraged to be hyper and instead can rear up on his hind legs and smash down on the area in front of him, stunning enemies in an area.",7/7/7/7/7
Gnar,E,Hop / Crunch,❌,None,"Gnar leaps to a location and bounces off the head of any unit he lands on, traveling further.<br><br>Mega Gnar is too large to bounce and instead lands with earth-shattering force, dealing damage in an area around him.",22/19.5/17/14.5/12
Gnar,R,GNAR!,✅,"stun, slow","Mega Gnar throws everything around him in a chosen direction, dealing damage and slowing them.  Any enemy that hits a wall is stunned and takes bonus damage.",90/60/30
Gragas,,,,,,
Gragas,Q,Barrel Roll,✅,slow,"Gragas rolls his cask to a location, which can be activated to explode or will explode on its own after 4 seconds. The potency of the explosion increases over time. Enemies struck by the blast have their Move Speed slowed.",10/9/8/7/6
Gragas,W,Drunken Rage,❌,None,"Gragas guzzles down brew from his cask for 1 second. After finishing, he becomes drunkenly empowered, dealing magic damage to all nearby enemies on his next basic attack and reducing damage received.",5/5/5/5/5
Gragas,E,Body Slam,✅,stun,"Gragas charges to a location and collides with the first enemy unit he comes across, dealing damage to all nearby enemy units and stunning them.",14/13.5/13/12.5/12
Gragas,R,Explosive Cask,❌,None,"Gragas hurls his cask to a location, dealing damage and knocking back enemies caught in the blast radius.",100/85/70
Graves,,,,,,
Graves,Q,End of the Line,❌,None,"Graves fires an explosive shell that detonates after 2 seconds, or 0.2 seconds if it strikes terrain.",13/11.25/9.5/7.75/6
Graves,W,Smoke Screen,❌,None,Graves fires a smoke canister at the target area creating a cloud of smoke that reduces sight range. Enemies caught in the initial impact are dealt magic damage and have their Move Speed reduced briefly.,26/24/22/20/18
Graves,E,Quickdraw,❌,None,"Graves dashes forward gaining an Armor boost for several seconds. If Graves dashes towards an enemy champion, gain two stacks of True Grit instead. Hitting enemies with basic attacks lowers the cooldown of this skill and refreshes the resistance boost.",16/15/14/13/12
Graves,R,Collateral Damage,❌,None,"Graves fires an explosive shell dealing heavy damage to the first champion it hits. After hitting a champion or reaching the end of its range, the shell explodes dealing damage in a cone.",100/80/60
Gwen,,,,,,
Gwen,Q,Snip Snip!,❌,None,Gwen snips her scissors in a cone up to 6 times dealing magic damage. Gwen deals true damage to units in the center and applies her passive to them on each snip.,6.5/5.75/5/4.25/3.5
Gwen,W,Hallowed Mist,❌,None,Gwen summons mist that protects her from enemies outside of it. She can only be targeted by enemies who enter the mist.,22/21/20/19/18
Gwen,E,Skip 'n Slash,❌,None,"Gwen dashes a short distance then gains Attack Speed, attack range, and magic damage <OnHit>On-Hit</OnHit> for a few seconds. If she hits an enemy during that time, this Ability's cooldown is partially refunded. ",13/12.5/12/11.5/11
Gwen,R,Needlework,✅,slow,"Gwen hurls a needle that slows enemies hit, deals magic damage, and applies A Thousand Cuts to champions hit. <br><br>This ability can be cast up to two more times, with each cast throwing additional needles and dealing more damage. Gwen must hit an enemy between each cast to unlock the next one. ",120/100/80
Hecarim,,,,,,
Hecarim,Q,Rampage,❌,None,"Hecarim cleaves nearby enemies dealing physical damage. If Hecarim damages at least one enemy, he increases the damage and lowers the cooldown of subsequent Rampages.",4/4/4/4/4
Hecarim,W,Spirit of Dread,❌,None,"Hecarim gains Armor and Magic Resist. Hecarim deals magic damage to nearby enemies, and gains Health equal to a percentage of any damage those enemies suffer.",14/14/14/14/14
Hecarim,E,Devastating Charge,❌,None,Hecarim gains increasing Move Speed and can move through units for a short duration. His next attack knocks the target back and deals additional physical damage based on the distance he has traveled since activating the ability.,20/19/18/17/16
Hecarim,R,Onslaught of Shadows,❌,None,"Hecarim summons spectral riders and charges forward, dealing magic damage in a line. Hecarim creates a shockwave when he finishes his charge, causing nearby enemies to flee in terror.",140/120/100
Heimerdinger,,,,,,
Heimerdinger,Q,H-28 G Evolution Turret,❌,None,Heimerdinger lays down a rapid-fire cannon turret equipped with a secondary pass-through beam attack (turrets deal half damage to towers).,1/1/1/1/1
Heimerdinger,W,Hextech Micro-Rockets,❌,None,Heimerdinger fires long-range rockets that converge on his cursor.,11/10/9/8/7
Heimerdinger,E,CH-2 Electron Storm Grenade,✅,"stun, slow","Heimerdinger lobs a grenade at a location, dealing damage to enemy units, as well as stunning anyone directly hit and slowing surrounding units.",11/11/11/11/11
Heimerdinger,R,UPGRADE!!!,❌,None,"Heimerdinger invents an upgrade, causing his next spell to have increased effects. ",100/85/70
Hwei,,,,,,
Hwei,Q,Subject: Disaster,❌,None,"Hwei envisions a series of disasters, allowing him to paint a devastating blow.<br><br>This ability replaces Hwei's abilities with damaging abilities: Devastating Fire, Severing Bolt, and Molten Fissure.",10/9/8/7/6
Hwei,W,Subject: Serenity,❌,None,"Hwei envisions a series of serenities, allowing him to paint invigorating settings.<br><br>This ability replaces Hwei's abilities with utility abilities: Fleeting Current, Pool of Reflection, and Stirring Lights.",18/17.5/17/16.5/16
Hwei,E,Subject: Torment,❌,None,"Hwei envisions a series of torments, allowing him to paint controlling visages.<br><br>This ability replaces Hwei's abilities with crowd control abilities: Grim Visage, Gaze of the Abyss, and Crushing Maw.",13/12.5/12/11.5/11
Hwei,R,Spiraling Despair,✅,slow,Hwei paints a vision of pure despair. The first enemy champion struck becomes the center of an expanding painting that slows and damages nearby enemies. The vision explodes after reaching its maximum size or when the champion dies.,140/115/80
Illaoi,,,,,,
Illaoi,Q,Tentacle Smash,❌,None,"Increases the damage dealt by Tentacles. When activated, Illaoi smashes down a Tentacle that deals physical damage.",10/9/8/7/6
Illaoi,W,Harsh Lesson,❌,None,"Illaoi leaps to her target, dealing physical damage and causing nearby Tentacles to also swing at the target.",4/4/4/4/4
Illaoi,E,Test of Spirit,❌,None,"Illaoi rips the spirit from a foe's body, forcing it to stand before her. Spirits echo a percentage of the damage they take to the original target. If killed, or if the target gets too far from the spirit, the target will become a <font color='#669900'>Vessel</font> and begin spawning Tentacles.",16/15/14/13/12
Illaoi,R,Leap of Faith,❌,None,"Illaoi smashes her idol into the ground, dealing physical damage to nearby enemies. A Tentacle spawns for each enemy champion hit.",120/95/70
Irelia,,,,,,
Irelia,Q,Bladesurge,❌,None,"Irelia dashes forward to strike her target, healing herself. If the target is Marked or dies to Bladesurge, its cooldown refreshes.",10/9/8/7/6
Irelia,W,Defiant Dance,❌,None,Irelia charges a strike that deals more damage as she charges. She takes reduced physical damage during the charge.,20/18/16/14/12
Irelia,E,Flawless Duet,✅,stun,"Irelia sends out two blades which converge on each other. Enemies caught in between are damaged, stunned and Marked.",16/15/14/13/12
Irelia,R,Vanguard's Edge,✅,slow,Irelia fires a massive number of blades that explode outward upon hitting an enemy champion. Enemies hit by the blades are damaged and Marked. Afterwards the blades form a wall that will damage and slow enemies that walk through it.,125/105/85
Ivern,,,,,,
Ivern,Q,Rootcaller,✅,root,"Ivern conjures a vine, dealing damage and rooting enemy targets hit. Ivern's allies can dash to the rooted target.",14/13/12/11/10
Ivern,W,Brushmaker,❌,None,"In brush, Ivern and his nearby allies attacks deal bonus magic damage. Ivern can activate this ability to create a patch of brush.",0.5/0.5/0.5/0.5/0.5
Ivern,E,Triggerseed,✅,slow,Ivern places a shield on an ally which explodes after a short duration slowing and damaging enemies. The shield refreshes if it hits no enemies.,11/10/9/8/7
Ivern,R,Daisy!,❌,None,Ivern summons his Sentinel friend Daisy to fight with him. Re-cast command Daisy to attack or move.,140/130/120
Janna,,,,,,
Janna,Q,Howling Gale,❌,None,"By creating a localized change in pressure and temperature, Janna is able to create a small storm that grows in size with time. She can activate the spell again to release the storm. On release this storm will fly towards the direction it was cast in, dealing damage and knocking away any enemies in its path.",14/14/14/14/14
Janna,W,Zephyr,✅,slow,Janna summons an air elemental that passively increases her Move Speed and enables her to pass through units. She may also activate this ability to deal damage and slow an enemy's Move Speed.,8/7.5/7/6.5/6
Janna,E,Eye Of The Storm,❌,None,Janna conjures a defensive gale that shields an ally champion or turret from incoming damage and increases their Attack Damage.,16/15/14/13/12
Janna,R,Monsoon,❌,None,"Janna surrounds herself in a magical storm, throwing enemies back. After the storm has settled, soothing winds heal nearby allies while the ability is active.",130/115/100
JarvanIV,,,,,,
JarvanIV,Q,Dragon Strike,❌,None,"Jarvan IV extends his lance, dealing physical damage and lowering the Armor of enemies in its path. Additionally, this will pull Jarvan to his Demacian Standard, knocking up enemies in his path.",10/9/8/7/6
JarvanIV,W,Golden Aegis,✅,slow,Jarvan IV calls upon the ancient kings of Demacia to shield him from harm and slow surrounding enemies.,9/9/9/9/9
JarvanIV,E,Demacian Standard,❌,None,"Jarvan IV carries the pride of Demacia, passively granting him bonus Attack Speed. Activating Demacian Standard allows Jarvan IV to place a Demacian flag that deals magic damage on impact and grants Attack Speed to nearby allied champions.",12/11.5/11/10.5/10
JarvanIV,R,Cataclysm,❌,None,Jarvan IV heroically leaps into battle at a target with such force that he terraforms the surrounding area to create an arena around them. Nearby enemies are damaged at the moment of impact.,120/105/90
Jax,,,,,,
Jax,Q,Leap Strike,❌,None,"Jax leaps toward a unit. If they are an enemy, he strikes them with his weapon.",8/7.5/7/6.5/6
Jax,W,Empower,❌,None,"Jax charges his weapon with energy, causing his next attack to deal additional damage.",7/6/5/4/3
Jax,E,Counter Strike,✅,stun,"Jax's combat prowess allows him to dodge all incoming attacks for a short duration and then quickly counterattack, stunning all surrounding enemies.",17/15/13/11/9
Jax,R,Grandmaster-at-Arms,❌,None,"Every third consecutive attack deals additional Magic Damage. Additionally, Jax can activate this ability to deal damage around himself and strengthen his resolve, increasing his Armor and Magic Resist for a short duration.",110/100/90
Jayce,,,,,,
Jayce,Q,To the Skies! / Shock Blast,✅,slow,Hammer Stance: Leaps to an enemy dealing physical damage and slowing enemies.<br><br>Cannon Stance: Fires an orb of electricity that detonates upon hitting an enemy (or reaching the end of its path) dealing physical damage to all enemies hit.,16/14/12/10/8/6
Jayce,W,Lightning Field / Hyper Charge,❌,None,"Hammer Stance: Passive: Restores Mana per strike. Active: Creates a field of lightning damaging nearby enemies for several seconds.<br><br>Cannon Stance: Gains a burst of energy, increasing Attack Speed to maximum for several attacks.",10/10/10/10/10/10
Jayce,E,Thundering Blow / Acceleration Gate,❌,None,"Hammer Stance: Deals magic damage to an enemy and knocks them back a short distance.<br><br>Cannon Stance: Deploys an Acceleration Gate increasing the Move Speed of all allied champions who pass through it. If Shock Blast is fired through the gate the missile speed, range, and damage will increase.",20/18/16/14/12/10
Jayce,R,Mercury Cannon / Mercury Hammer,❌,None,Hammer Stance: Transforms the Mercury Hammer into the Mercury Cannon gaining new abilities and increased range. The first attack in this form reduces the target's Armor and Magic Resist.<br><br>Cannon Stance: Transforms the Mercury Cannon into the Mercury Hammer gaining new abilities and increasing Armor and Magic Resist. The first attack in this form deals additional magic damage.,6
Jhin,,,,,,
Jhin,Q,Dancing Grenade,❌,None,Jhin launches a magical cartridge at an enemy. It can hit up to four targets and gains damage each time it kills.,7/6.5/6/5.5/5
Jhin,W,Deadly Flourish,✅,root,"Jhin brandishes his cane, firing a single shot with incredible range. It pierces through minions and monsters, but stops on the first champion hit. If the target was recently struck by Jhin's allies, lotus traps, or damaged by Jhin, they are rooted.",12/12/12/12/12
Jhin,E,Captive Audience,✅,slow,"Jhin places an invisible lotus trap that blooms when walked over. It slows nearby enemies before dealing damage with an explosion of serrated petals. <br><br><font color='#FFFFFF'>Beauty in Death -</font> When Jhin kills an enemy champion, a lotus trap will bloom near their corpse.",2/2/2/2/2
Jhin,R,Curtain Call,✅,"slow, cripple","Jhin channels, transforming Whisper into a shoulder-mounted mega-cannon. It is able to fire 4 super shots at extreme range that pierce through minions and monsters, but stop on the first champion impacted. Whisper cripples enemies hit, which slows them and deals execute damage. The 4th shot is perfectly crafted, epically powerful, and guaranteed to critically strike.",120/105/90
Jinx,,,,,,
Jinx,Q,Switcheroo!,❌,None,"Jinx modifies her basic attacks by swapping between Pow-Pow, her minigun and Fishbones, her rocket launcher. Attacks with Pow-Pow grant Attack Speed, while attacks with Fishbones deal area of effect damage, gain increased range, but drain Mana and attack slower.",0.9/0.9/0.9/0.9/0.9
Jinx,W,Zap!,✅,slow,"Jinx uses Zapper, her shock pistol, to fire a blast that deals damage to the first enemy hit, slowing and revealing it.",8/7/6/5/4
Jinx,E,Flame Chompers!,✅,root,"Jinx throws out a line of snare grenades that explode after 5 seconds, lighting enemies on fire. Flame Chompers will bite enemy champions who walk over them, rooting them in place.",24/20.5/17/13.5/10
Jinx,R,Super Mega Death Rocket!,❌,None,"Jinx fires a super rocket across the map that gains damage as it travels. The rocket will explode upon colliding with an enemy champion, dealing damage to it and surrounding enemies based on their missing Health.",85/65/45
KSante,,,,,,
KSante,Q,Ntofo Strikes,✅,slow,"K'Sante strikes, damaging and slowing enemies in a short line.<br><br>On hit, grants a stack of Ntofo Strikes. At 2 stacks, K'Sante fires a shockwave that pulls enemies in.<br><br>When All Out, cooldown is reduced.",3.5/3.5/3.5/3.5/3.5
KSante,W,Path Maker,✅,stun,"K'Sante charges up, taking reduced damage, then dashes, knocking back and stunning enemies.<br><br>When All Out, deals increased damage and no longer knocks back or stuns.",14/13/12/11/10
KSante,E,Footwork,❌,None,"K'Sante dashes and gains a shield. If targeting an ally, K'Sante dashes to the ally with increased range and both gain a shield.<br><br>When All Out, cooldown is reduced and speed is increased.",10/9.5/9/8.5/8
KSante,R,All Out,❌,None,"K'Sante knocks an enemy back, launching them through any wall in their path. Then, K'Sante goes All Out and dashes after them, gaining increased damage, healing, and transformed abilities at the cost of reduced defenses.",120/100/80
Kaisa,,,,,,
Kaisa,Q,Icathian Rain,❌,None,Kai'Sa shoots a swarm of missiles that seek out nearby targets.<br><br>Living Weapon: Icathian Rain is upgraded to shoot more missiles.,10/9/8/7/6
Kaisa,W,Void Seeker,❌,None,"Kai'Sa shoots a long range missile, marking enemies with her passive.<br><br>Living Weapon: Void Seeker is upgraded to apply more passive marks and reduce cooldown on champion hit.",22/20/18/16/14
Kaisa,E,Supercharge,❌,None,"Kai'Sa briefly increases her Move Speed, then increases her Attack Speed.<br><br>Living Weapon: Supercharge is upgraded to briefly grant Invisibility.",16/14.5/13/11.5/10
Kaisa,R,Killer Instinct,❌,None,Kai'Sa dashes near an enemy champion.,130/100/70
Kalista,,,,,,
Kalista,Q,Pierce,❌,None,Throw a fast moving spear that passes through enemies it kills.,8/8/8/8/8
Kalista,W,Sentinel,❌,None,"Gain bonus damage when Kalista and her Oathsworn strike the same target. <br><br>Activate to send a soul to scout out the path, revealing the area in front of it.",30/30/30/30/30
Kalista,E,Rend,✅,slow,"Attacks impale their targets with spears. Activate to rip the spears out, slowing and dealing escalating damage.",0/0/0/0/0
Kalista,R,Fate's Call,❌,None,"Kalista teleports the Oathsworn ally to herself. They gain the ability to dash toward a position, knocking enemy champions back.",160/140/120
Karma,,,,,,
Karma,Q,Inner Flame,❌,None,"Karma sends forth a ball of spirit energy that explodes and deals damage upon hitting an enemy unit.<br><br>Mantra Bonus: In addition to the explosion, Mantra increases the destructive power of her Inner Flame, creating a cataclysm which deals damage after a short delay.",9/8/7/6/5
Karma,W,Focused Resolve,✅,root,"Karma creates a tether between herself and a targeted enemy, dealing damage and revealing them. If the tether is not broken, the enemy will be rooted and damaged again.<br><br>Mantra Bonus: Karma strengthens the link, healing herself and extending the root duration.",12/12/12/12/12
Karma,E,Inspire,❌,None,"Karma summons a protective shield that absorbs incoming damage and increases the Move Speed of the protected ally.<br><br>Mantra Bonus: Energy radiates out from her target, strengthening the initial shield and applying Inspire to nearby allied champions.",10/9.5/9/8.5/8
Karma,R,Mantra,❌,None,Karma empowers her next ability to do an additional effect. Mantra is available at level 1 and does not require a skill point.,40/38/36/34
Karthus,,,,,,
Karthus,Q,Lay Waste,❌,None,"Karthus unleashes a delayed blast at a location, dealing damage to nearby enemies. Deals increased damage to isolated enemies. ",0/0/0/0/0
Karthus,W,Wall of Pain,❌,None,Karthus creates a passable screen of leeching energy. Any enemy units that walk through the screen have their Move Speed and Magic Resist reduced for a period.,15/15/15/15/15
Karthus,E,Defile,❌,None,"Karthus passively steals energy from his victims, gaining Mana on each kill. Alternatively, Karthus can surround himself in the souls of his prey, dealing damage to nearby enemies, but quickly draining his own Mana.",0.5/0.5/0.5/0.5/0.5
Karthus,R,Requiem,❌,None,"After channeling for 3 seconds, Karthus deals damage to all enemy champions.",200/180/160
Kassadin,,,,,,
Kassadin,Q,Null Sphere,❌,None,"Kassadin fires an orb of void energy at a target, dealing damage and interrupting channels. The excess energy forms around himself, granting a temporary shield that absorbs magic damage.",10/9.5/9/8.5/8
Kassadin,W,Nether Blade,❌,None,Passive: Kassadin's basic attacks deal bonus magic damage. Active: Kassadin's next basic attack deals significant bonus magic damage and restores Mana.,7/7/7/7/7
Kassadin,E,Force Pulse,✅,slow,"Kassadin draws energy from spells cast in his vicinity. Upon charging up, Kassadin can use Force Pulse to damage and slow enemies in a cone in front of him.",21/20/19/18/17
Kassadin,R,Riftwalk,❌,None,Kassadin teleports to a nearby location dealing damage to nearby enemy units. Multiple Riftwalks in a short period of time cost additional Mana but also deal additional damage.,5/3.5/2
Katarina,,,,,,
Katarina,Q,Bouncing Blade,❌,None,Katarina throws a <font color='#FFF673'>Dagger</font> at the target that then bounces to nearby enemies before ricocheting onto the ground.,11/10/9/8/7
Katarina,W,Preparation,❌,None,"Katarina gains a burst of Move Speed, tossing a <font color='#FFF673'>Dagger</font> into the air directly above herself.",15/14/13/12/11
Katarina,E,Shunpo,❌,None,"Katarina blinks to the target, striking it if its an enemy, or striking the nearest enemy otherwise.",12/11/10/9/8
Katarina,R,Death Lotus,❌,None,"Katarina becomes a flurry of blades, dealing massive magic damage while she channels to the 3 nearest enemy champions.",75/60/45
Kayle,,,,,,
Kayle,Q,Radiant Blast,✅,slow,"Kayle conjures a portal, summoning a celestial sword that pierces through enemies, slowing, damaging, and reducing the resistances of all hit.",12/11/10/9/8
Kayle,W,Celestial Blessing,❌,None,"Blessed by the divine, Kayle heals and grants Move Speed to herself and the nearest ally.",15/15/15/15/15
Kayle,E,Starfire Spellblade,❌,None,"Passive: Kayle's celestial sword, Virtue, deals bonus magic damage to enemies she attacks.<br><br>Active: Kayle's next attack smites her target with celestial fire, dealing bonus damage proportionate to their missing health.",8/7.5/7/6.5/6
Kayle,R,Divine Judgment,❌,None,Kayle makes an ally invulnerable and calls upon former Aspects of Justice to purify the area around her target with a holy rain of swords.,160/120/80
Kayn,,,,,,
Kayn,Q,Reaping Slash,❌,None,"Kayn dashes, then slashes. Both deal damage.",7/6.5/6/5.5/5
Kayn,W,Blade's Reach,✅,slow,Kayn damages and slows targets in a line.,13/12/11/10/9
Kayn,E,Shadow Step,❌,None,Kayn can walk through terrain.,21/19/17/15/13
Kayn,R,Umbral Trespass,❌,None,"Kayn hides in an enemy's body, dealing massive damage when he bursts out.",120/100/80
Kennen,,,,,,
Kennen,Q,Thundering Shuriken,❌,None,"Kennen throws a fast moving shuriken towards a location, causing damage and adding a Mark of the Storm to any opponent that it hits.",7/6.25/5.5/4.75/4
Kennen,W,Electrical Surge,❌,None,"Kennen passively deals extra damage and adds a Mark of the Storm to his target every few attacks, and he can activate this ability to damage and add another Mark of the Storm to targets who are already marked.",13/11.25/9.5/7.75/6
Kennen,E,Lightning Rush,❌,None,"Kennen morphs into a lightning form, enabling him to pass through units and apply a Mark of the Storm. Kennen gains Move Speed when entering this form, and attack speed when leaving it.",10/9/8/7/6
Kennen,R,Slicing Maelstrom,❌,None,Kennen summons a storm that strikes at nearby enemy champions for magical damage.,120/100/80
Khazix,,,,,,
Khazix,Q,Taste Their Fear,✅,fear,"Deals physical damage to the target. Damage increased on <font color='#FFF673'>Isolated</font> targets. If he chooses to <font color='#00DD33'>Evolve Reaper Claws</font>, this refunds a percent of it's cooldown against <font color='#FFF673'>Isolated</font> targets. Kha'Zix also gains increased range on his basic attacks and Taste Their Fear.",4/4/4/4/4
Khazix,W,Void Spike,✅,slow,"Kha'Zix fires exploding spikes that deal physical damage to enemies hit. Kha'Zix is healed if he is also within the explosion radius. If he chooses to <font color='#00DD33'>Evolve Spike Racks</font>, Void Spike now fires three spikes in a cone, slow enemies hit, and reveals enemy champions hit for 2 seconds. <font color='#FFF673'>Isolated</font> targets are slowed for extra.",9/9/9/9/9
Khazix,E,Leap,❌,None,"Kha'Zix leaps to an area, dealing physical damage upon landing. If he chooses to <font color='#00DD33'>Evolve Wings</font>, Leap's range increases by 200 and the cooldown resets on champion kill or assist.",20/18/16/14/12
Khazix,R,Void Assault,❌,None,"Each rank allows Kha'Zix to evolve one of his abilities, giving it a unique additional effect. When activated, Kha'Zix becomes <font color='#91d7ee'>Invisible</font>, triggering Unseen Threat and increasing Move Speed. If he chooses to <font color='#00DD33'>Evolve Adaptive Cloaking</font>, Void Assault gains increased <font color='#91d7ee'>Invisibility</font> duration, and an additional use.",100/85/70
Kindred,,,,,,
Kindred,Q,Dance of Arrows,❌,None,Kindred tumbles and shoots up to three arrows at nearby targets.,9/9/9/9/9
Kindred,W,Wolf's Frenzy,❌,None,"Wolf enrages and attacks enemies around him.  Lamb passively gains stacks by moving and attacking. When fully charged, Lamb's next attack restores health.",18/17/16/15/14
Kindred,E,Mounting Dread,✅,slow,"Lamb fires a carefully placed shot, slowing the target. If Lamb attacks the target two more times, her third attack instead directs Wolf to pounce on the enemy, savaging them for massive damage.",14/12.5/11/9.5/8
Kindred,R,Lamb's Respite,❌,None,"Lamb grants all living things inside a zone a respite from death. Until the effect ends, nothing can die. At the end, units are healed.",180/150/120
Kled,,,,,,
Kled,Q,Bear Trap on a Rope,❌,None,"Kled throws a bear trap that damages and hooks an enemy champion. If shackled for a short duration, the target takes additional physical damage and is yanked toward Kled.<br><br>When dismounted, this ability is replaced by Pocket Pistol, a ranged gun blast that knocks back Kled and restores courage.",11/10/9/8/7
Kled,W,Violent Tendencies,❌,None,Kled gains massive attack speed for four attacks. The fourth attack deals more damage.,11/9.5/8/6.5/5
Kled,E,Jousting,❌,None,"Kled dashes, dealing physical damage and gaining a short burst of speed. Kled can cast this ability again to dash back through his initial target, dealing the same damage.",13/12/11/10/9
Kled,R,Chaaaaaaaarge!!!,❌,None,"Kled and Skaarl charge to a location, leaving a speed-granting trail behind them and gaining a shield. Skaarl locks onto and rams the first enemy champion encountered.",140/125/110
KogMaw,,,,,,
KogMaw,Q,Caustic Spittle,❌,None,Kog'Maw launches a corrosive projectile which deals magic damage and corrodes the target's armor and magic resist for a short time. Kog'Maw also gains additional attack speed.,7/7/7/7/7
KogMaw,W,Bio-Arcane Barrage,❌,None,Kog'Maw's attacks gain range and deal a percent of the target's maximum health as magic damage.,17/17/17/17/17
KogMaw,E,Void Ooze,✅,slow,Kog'Maw launches a peculiar ooze which damages all enemies it passes through and leaves a trail which slows enemies who stand on it.,12/12/12/12/12
KogMaw,R,Living Artillery,❌,None,"Kog'Maw fires an artillery shell at a great distance dealing magic damage (increased significantly on low health enemies) and revealing non-stealthed targets. Additionally, multiple Living Artilleries in a short period of time cause them to cost additional Mana.",2/1.5/1
Leblanc,,,,,,
Leblanc,Q,Sigil of Malice,❌,None,"LeBlanc projects a sigil, dealing damage and marking the target for 3.5 seconds. Damaging the marked target with an ability detonates the sigil, dealing additional damage. If either part kills the target, Leblanc refunds the Mana cost and part of this spell's remaining Cooldown.",6/6/6/6/6
Leblanc,W,Distortion,❌,None,"LeBlanc dashes to a location, dealing damage to enemies near her destination. For the next 4 seconds, activate Distortion again to return LeBlanc to her starting location.",15/13.75/12.5/11.25/10
Leblanc,E,Ethereal Chains,✅,root,"LeBlanc launches a chain that shackles the first enemy hit. If the target remains shackled for 1.5 seconds, LeBlanc roots them and deals additional damage.",14/13.25/12.5/11.75/11
Leblanc,R,Mimic,❌,None,LeBlanc casts a mimicked version of one of her basic spells.,50/40/30
LeeSin,,,,,,
LeeSin,Q,Sonic Wave / Resonating Strike,❌,None,"Sonic Wave: Lee Sin projects a discordant wave of sound to locate his enemies, dealing physical damage to the first enemy it encounters. If Sonic Wave hits, Lee Sin can cast Resonating Strike for the next 3 seconds.<br>Resonating Strike: Lee Sin dashes to the enemy hit by Sonic Wave, dealing physical damage based on the target's missing Health.",10/9/8/7/6
LeeSin,W,Safeguard / Iron Will,❌,None,"Safeguard: Lee Sin rushes to target ally, shielding himself from damage. If the ally is a champion, they are also shielded. After using Safeguard, Lee Sin can cast Iron Will.<br>Iron Will: Lee Sin's intense training allows him to thrive in battle. Lee Sin gains Life Steal and Spell Vamp.",12/12/12/12/12
LeeSin,E,Tempest / Cripple,✅,cripple,"Tempest: Lee Sin smashes the ground, sending out a shockwave that deals magic damage and reveals enemy units hit. If Tempest hits an enemy, Lee Sin can cast cripple.<br>Cripple: Lee Sin cripples nearby enemies damaged by Tempest, reducing their Move Speed. Move Speed recovers gradually over the duration.",9/9/9/9/9
